district,year,age_range,spanish_men,spanish_women,spanish_total,foreign_total,total,spanish_men_ref,spanish_women_ref,spanish_total_ref,foreign_total_ref,total_ref,spanish_men_ratio,spanish_women_ratio,spanish_total_ratio,foreign_total_ratio,total_ratio
Arganzuela,2004,0-24,8575,8250,16825,5114,21939,8575,8250,16825,5114,21939,1.0,1.0,1.0,1.0,1.0
Arganzuela,2005,0-24,8341,7999,16340,4993,21333,8575,8250,16825,5114,21939,0.9727113702623906,0.9695757575757575,0.9711738484398217,0.9763394603050449,0.972377957062765
Arganzuela,2006,0-24,8195,7785,15980,5049,21029,8575,8250,16825,5114,21939,0.9556851311953353,0.9436363636363636,0.9497771173848439,0.9872897927258506,0.958521354665208
Arganzuela,2007,0-24,7948,7688,15636,4156,19792,8575,8250,16825,5114,21939,0.9268804664723032,0.9318787878787879,0.929331352154532,0.8126710989440751,0.9021377455672547
Arganzuela,2008,0-24,8011,7737,15748,4574,20322,8575,8250,16825,5114,21939,0.9342274052478134,0.9378181818181818,0.9359881129271916,0.8944075087993743,0.9262956379051005
Arganzuela,2009,0-24,7928,7698,15626,4389,20015,8575,8250,16825,5114,21939,0.9245481049562683,0.9330909090909091,0.928736998514116,0.8582323034806414,0.9123022927207256
Arganzuela,2010,0-24,7896,7659,15555,3944,19499,8575,8250,16825,5114,21939,0.9208163265306123,0.9283636363636364,0.924517087667162,0.7712162690653109,0.8887825333880305
Arganzuela,2011,0-24,7947,7667,15614,3516,19130,8575,8250,16825,5114,21939,0.9267638483965015,0.9293333333333333,0.9280237741456167,0.6875244427062964,0.871963170609417
Arganzuela,2012,0-24,8095,7731,15826,2960,18786,8575,8250,16825,5114,21939,0.9440233236151604,0.9370909090909091,0.9406240713224369,0.5788032850997262,0.8562833310542869
Arganzuela,2013,0-24,8134,7843,15977,2701,18678,8575,8250,16825,5114,21939,0.9485714285714286,0.9506666666666667,0.9495988112927192,0.5281579976535002,0.8513605907288391
Arganzuela,2014,0-24,8134,7834,15968,2270,18238,8575,8250,16825,5114,21939,0.9485714285714286,0.9495757575757576,0.9490638930163448,0.4438795463433711,0.831304981995533
