,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
Total,50710,53512,104222,15249,12951,28200,65959,66463,132422,CENTRO / TODOS,01-01-2017,2017
0 - 4,1565,1544,3109,465,427,892,2030,1971,4001,CENTRO / TODOS,01-01-2017,2017
5 - 9,1523,1465,2988,305,283,588,1828,1748,3576,CENTRO / TODOS,01-01-2017,2017
10 - 14,1416,1380,2796,241,196,437,1657,1576,3233,CENTRO / TODOS,01-01-2017,2017
15 - 19,1338,1281,2619,330,268,598,1668,1549,3217,CENTRO / TODOS,01-01-2017,2017
20 - 24,1745,1624,3369,1063,1305,2368,2808,2929,5737,CENTRO / TODOS,01-01-2017,2017
25 - 29,3246,3417,6663,2337,2460,4797,5583,5877,11460,CENTRO / TODOS,01-01-2017,2017
30 - 34,4880,4663,9543,2778,2351,5129,7658,7014,14672,CENTRO / TODOS,01-01-2017,2017
35 - 39,5657,4990,10647,2509,1749,4258,8166,6739,14905,CENTRO / TODOS,01-01-2017,2017
40 - 44,5502,4686,10188,1794,1151,2945,7296,5837,13133,CENTRO / TODOS,01-01-2017,2017
45 - 49,4879,4056,8935,1315,861,2176,6194,4917,11111,CENTRO / TODOS,01-01-2017,2017
50 - 54,4383,4161,8544,867,612,1479,5250,4773,10023,CENTRO / TODOS,01-01-2017,2017
55 - 59,3731,3959,7690,532,454,986,4263,4413,8676,CENTRO / TODOS,01-01-2017,2017
60 - 64,2945,3301,6246,347,348,695,3292,3649,6941,CENTRO / TODOS,01-01-2017,2017
65 - 69,2334,2818,5152,171,220,391,2505,3038,5543,CENTRO / TODOS,01-01-2017,2017
70 - 74,1857,2521,4378,104,127,231,1961,2648,4609,CENTRO / TODOS,01-01-2017,2017
75 - 79,1343,2118,3461,48,61,109,1391,2179,3570,CENTRO / TODOS,01-01-2017,2017
80 - 84,1149,2248,3397,27,45,72,1176,2293,3469,CENTRO / TODOS,01-01-2017,2017
85 - 89,849,1908,2757,13,17,30,862,1925,2787,CENTRO / TODOS,01-01-2017,2017
90 - 94,285,1010,1295,2,14,16,287,1024,1311,CENTRO / TODOS,01-01-2017,2017
95 - 99,70,303,373,0,2,2,70,305,375,CENTRO / TODOS,01-01-2017,2017
100 o más,13,59,72,1,0,1,14,59,73,CENTRO / TODOS,01-01-2017,2017
Total,63950,74072,138022,6776,7539,14315,70726,81611,152337,ARGANZUELA / TODOS,01-01-2017,2017
0 - 4,3143,2868,6011,323,289,612,3466,3157,6623,ARGANZUELA / TODOS,01-01-2017,2017
5 - 9,2818,2946,5764,192,179,371,3010,3125,6135,ARGANZUELA / TODOS,01-01-2017,2017
10 - 14,2793,2760,5553,179,169,348,2972,2929,5901,ARGANZUELA / TODOS,01-01-2017,2017
15 - 19,2808,2588,5396,203,233,436,3011,2821,5832,ARGANZUELA / TODOS,01-01-2017,2017
20 - 24,2762,2717,5479,440,559,999,3202,3276,6478,ARGANZUELA / TODOS,01-01-2017,2017
25 - 29,3530,3619,7149,773,1109,1882,4303,4728,9031,ARGANZUELA / TODOS,01-01-2017,2017
30 - 34,4881,5039,9920,1093,1261,2354,5974,6300,12274,ARGANZUELA / TODOS,01-01-2017,2017
35 - 39,5733,5840,11573,1133,1101,2234,6866,6941,13807,ARGANZUELA / TODOS,01-01-2017,2017
40 - 44,5371,5815,11186,816,743,1559,6187,6558,12745,ARGANZUELA / TODOS,01-01-2017,2017
45 - 49,5175,5638,10813,614,587,1201,5789,6225,12014,ARGANZUELA / TODOS,01-01-2017,2017
50 - 54,5396,6004,11400,411,462,873,5807,6466,12273,ARGANZUELA / TODOS,01-01-2017,2017
55 - 59,4757,5824,10581,266,330,596,5023,6154,11177,ARGANZUELA / TODOS,01-01-2017,2017
60 - 64,4000,4984,8984,159,231,390,4159,5215,9374,ARGANZUELA / TODOS,01-01-2017,2017
65 - 69,3313,4251,7564,72,141,213,3385,4392,7777,ARGANZUELA / TODOS,01-01-2017,2017
70 - 74,2492,3424,5916,50,67,117,2542,3491,6033,ARGANZUELA / TODOS,01-01-2017,2017
75 - 79,1754,2761,4515,23,31,54,1777,2792,4569,ARGANZUELA / TODOS,01-01-2017,2017
80 - 84,1623,3021,4644,15,26,41,1638,3047,4685,ARGANZUELA / TODOS,01-01-2017,2017
85 - 89,1064,2300,3364,7,11,18,1071,2311,3382,ARGANZUELA / TODOS,01-01-2017,2017
90 - 94,437,1216,1653,4,7,11,441,1223,1664,ARGANZUELA / TODOS,01-01-2017,2017
95 - 99,90,401,491,2,3,5,92,404,496,ARGANZUELA / TODOS,01-01-2017,2017
100 o más,10,56,66,1,0,1,11,56,67,ARGANZUELA / TODOS,01-01-2017,2017
Total,50423,60368,110791,3382,4671,8053,53805,65039,118844,RETIRO / TODOS,01-01-2017,2017
0 - 4,2325,2273,4598,134,143,277,2459,2416,4875,RETIRO / TODOS,01-01-2017,2017
5 - 9,2209,2176,4385,115,119,234,2324,2295,4619,RETIRO / TODOS,01-01-2017,2017
10 - 14,2156,2106,4262,85,82,167,2241,2188,4429,RETIRO / TODOS,01-01-2017,2017
15 - 19,2125,2056,4181,93,103,196,2218,2159,4377,RETIRO / TODOS,01-01-2017,2017
20 - 24,2274,2286,4560,220,332,552,2494,2618,5112,RETIRO / TODOS,01-01-2017,2017
25 - 29,2713,2741,5454,443,722,1165,3156,3463,6619,RETIRO / TODOS,01-01-2017,2017
30 - 34,3309,3428,6737,505,730,1235,3814,4158,7972,RETIRO / TODOS,01-01-2017,2017
35 - 39,3787,3873,7660,473,605,1078,4260,4478,8738,RETIRO / TODOS,01-01-2017,2017
40 - 44,4003,4122,8125,385,467,852,4388,4589,8977,RETIRO / TODOS,01-01-2017,2017
45 - 49,3571,3914,7485,307,400,707,3878,4314,8192,RETIRO / TODOS,01-01-2017,2017
50 - 54,3722,4240,7962,208,305,513,3930,4545,8475,RETIRO / TODOS,01-01-2017,2017
55 - 59,3478,4421,7899,144,234,378,3622,4655,8277,RETIRO / TODOS,01-01-2017,2017
60 - 64,3284,4521,7805,80,160,240,3364,4681,8045,RETIRO / TODOS,01-01-2017,2017
65 - 69,3181,4315,7496,56,108,164,3237,4423,7660,RETIRO / TODOS,01-01-2017,2017
70 - 74,2824,3842,6666,52,68,120,2876,3910,6786,RETIRO / TODOS,01-01-2017,2017
75 - 79,2026,3033,5059,43,48,91,2069,3081,5150,RETIRO / TODOS,01-01-2017,2017
80 - 84,1769,2930,4699,23,19,42,1792,2949,4741,RETIRO / TODOS,01-01-2017,2017
85 - 89,1078,2365,3443,10,13,23,1088,2378,3466,RETIRO / TODOS,01-01-2017,2017
90 - 94,485,1263,1748,6,10,16,491,1273,1764,RETIRO / TODOS,01-01-2017,2017
95 - 99,97,385,482,0,2,2,97,387,484,RETIRO / TODOS,01-01-2017,2017
100 o más,7,78,85,0,1,1,7,79,86,RETIRO / TODOS,01-01-2017,2017
Total,56200,70898,127098,7239,9912,17151,63439,80810,144249,SALAMANCA / TODOS,01-01-2017,2017
0 - 4,2499,2527,5026,300,290,590,2799,2817,5616,SALAMANCA / TODOS,01-01-2017,2017
5 - 9,2387,2309,4696,180,163,343,2567,2472,5039,SALAMANCA / TODOS,01-01-2017,2017
10 - 14,2265,2284,4549,156,163,319,2421,2447,4868,SALAMANCA / TODOS,01-01-2017,2017
15 - 19,2308,2301,4609,247,236,483,2555,2537,5092,SALAMANCA / TODOS,01-01-2017,2017
20 - 24,2625,2609,5234,614,841,1455,3239,3450,6689,SALAMANCA / TODOS,01-01-2017,2017
25 - 29,3467,3868,7335,1185,1990,3175,4652,5858,10510,SALAMANCA / TODOS,01-01-2017,2017
30 - 34,4120,4538,8658,1285,1706,2991,5405,6244,11649,SALAMANCA / TODOS,01-01-2017,2017
35 - 39,4404,4625,9029,913,1144,2057,5317,5769,11086,SALAMANCA / TODOS,01-01-2017,2017
40 - 44,4176,4684,8860,654,844,1498,4830,5528,10358,SALAMANCA / TODOS,01-01-2017,2017
45 - 49,3899,4593,8492,471,680,1151,4370,5273,9643,SALAMANCA / TODOS,01-01-2017,2017
50 - 54,4231,5158,9389,404,562,966,4635,5720,10355,SALAMANCA / TODOS,01-01-2017,2017
55 - 59,3994,5065,9059,270,436,706,4264,5501,9765,SALAMANCA / TODOS,01-01-2017,2017
60 - 64,3572,4732,8304,184,353,537,3756,5085,8841,SALAMANCA / TODOS,01-01-2017,2017
65 - 69,3272,4608,7880,125,219,344,3397,4827,8224,SALAMANCA / TODOS,01-01-2017,2017
70 - 74,2863,4241,7104,95,118,213,2958,4359,7317,SALAMANCA / TODOS,01-01-2017,2017
75 - 79,2037,3524,5561,76,78,154,2113,3602,5715,SALAMANCA / TODOS,01-01-2017,2017
80 - 84,1977,3859,5836,46,41,87,2023,3900,5923,SALAMANCA / TODOS,01-01-2017,2017
85 - 89,1376,2987,4363,23,23,46,1399,3010,4409,SALAMANCA / TODOS,01-01-2017,2017
90 - 94,562,1744,2306,8,12,20,570,1756,2326,SALAMANCA / TODOS,01-01-2017,2017
95 - 99,135,520,655,3,9,12,138,529,667,SALAMANCA / TODOS,01-01-2017,2017
100 o más,31,122,153,0,4,4,31,126,157,SALAMANCA / TODOS,01-01-2017,2017
Total,59449,71600,131049,5125,7642,12767,64574,79242,143816,CHAMARTIN / TODOS,01-01-2017,2017
0 - 4,3131,2999,6130,254,232,486,3385,3231,6616,CHAMARTIN / TODOS,01-01-2017,2017
5 - 9,2967,2965,5932,166,158,324,3133,3123,6256,CHAMARTIN / TODOS,01-01-2017,2017
10 - 14,2727,2673,5400,141,144,285,2868,2817,5685,CHAMARTIN / TODOS,01-01-2017,2017
15 - 19,2614,2587,5201,157,212,369,2771,2799,5570,CHAMARTIN / TODOS,01-01-2017,2017
20 - 24,2967,2817,5784,306,474,780,3273,3291,6564,CHAMARTIN / TODOS,01-01-2017,2017
25 - 29,3500,3491,6991,607,1096,1703,4107,4587,8694,CHAMARTIN / TODOS,01-01-2017,2017
30 - 34,4247,4360,8607,761,1237,1998,5008,5597,10605,CHAMARTIN / TODOS,01-01-2017,2017
35 - 39,4480,4722,9202,668,978,1646,5148,5700,10848,CHAMARTIN / TODOS,01-01-2017,2017
40 - 44,4491,4980,9471,549,743,1292,5040,5723,10763,CHAMARTIN / TODOS,01-01-2017,2017
45 - 49,4274,4791,9065,454,650,1104,4728,5441,10169,CHAMARTIN / TODOS,01-01-2017,2017
50 - 54,4239,5098,9337,338,537,875,4577,5635,10212,CHAMARTIN / TODOS,01-01-2017,2017
