district,price_m2,year
barajas,10.5,2007
carabanchel,10.3,2007
centro,16.5,2007
chamartín,13.9,2007
chamberí,14.2,2007
ciudad lineal,12,2007
fuencarral,9.8,2007
hortaleza,11.9,2007
latina,10.4,2007
moncloa,12.2,2007
moratalaz,10.8,2007
puente de vallecas,10.7,2007
retiro,13.6,2007
salamanca,14.8,2007
san blas,10.9,2007
tetuán,12.6,2007
usera,9.7,2007
vicálvaro,9,2007
villa de vallecas,9.7,2007
villaverde,7,2007
arganzuela,12.3,2007
madrid,13,2007
barajas,11.3,2008
carabanchel,11.1,2008
centro,16.4,2008
chamartín,14.4,2008
chamberí,15.4,2008
ciudad lineal,12.7,2008
fuencarral,11.4,2008
hortaleza,12.5,2008
latina,11.2,2008
moncloa,13,2008
moratalaz,11.2,2008
puente de vallecas,11.3,2008
retiro,14.1,2008
salamanca,16.2,2008
san blas,12,2008
tetuán,13.3,2008
usera,11,2008
vicálvaro,10.2,2008
villa de vallecas,10.4,2008
villaverde,10.3,2008
arganzuela,12.7,2008
madrid,13.4,2008
barajas,9.4,2013
carabanchel,8.3,2013
centro,12.4,2013
chamartín,11.7,2013
chamberí,12.3,2013
ciudad lineal,9.7,2013
fuencarral,9.6,2013
hortaleza,10,2013
latina,8.4,2013
moncloa,10.7,2013
moratalaz,8,2013
puente de vallecas,8,2013
retiro,11.1,2013
salamanca,12.8,2013
san blas,8.5,2013
tetuán,10.7,2013
usera,7.9,2013
vicálvaro,7.7,2013
villa de vallecas,8.1,2013
villaverde,7.4,2013
arganzuela,10,2013
madrid,10.8,2013
