district,price_m2,year
barajas,"10,3",2009
carabanchel,"9,9",2009
centro,"14,7",2009
chamartín,"13,6",2009
chamberí,"14,3",2009
ciudad lineal,"11,2",2009
fuencarral,"10,5",2009
hortaleza,"11,6",2009
latina,"10,0",2009
moncloa,"12,5",2009
moratalaz,"9,6",2009
puente de vallecas,"10,0",2009
retiro,"12,9",2009
salamanca,"14,8",2009
san blas,"10,3",2009
tetuán,"12,5",2009
usera,"9,5",2009
vicálvaro,"9,7",2009
villa de vallecas,"9,5",2009
villaverde,"9,2",2009
arganzuela,"11,9",2009
barajas,"10,2",2010
carabanchel,"9,8",2010
centro,"14,3",2010
chamartín,"13,2",2010
chamberí,"13,7",2010
ciudad lineal,"11,2",2010
fuencarral,"10,4",2010
hortaleza,"11,3",2010
latina,"9,7",2010
moncloa,"12,3",2010
moratalaz,"9,5",2010
puente de vallecas,"9,8",2010
retiro,"12,1",2010
salamanca,"14,5",2010
san blas,"10,0",2010
tetuán,"11,9",2010
usera,"9,1",2010
vicálvaro,"9,3",2010
villa de vallecas,"9,4",2010
villaverde,"8,9",2010
arganzuela,"11,6",2010
barajas,"10,4",2011
carabanchel,"9,5",2011
centro,"14,0",2011
chamartín,"13,2",2011
chamberí,"13,4",2011
ciudad lineal,"11,1",2011
fuencarral,"10,5",2011
hortaleza,"11,3",2011
latina,"9,5",2011
moncloa,"12,2",2011
moratalaz,"9,0",2011
puente de vallecas,"9,5",2011
retiro,"12,8",2011
salamanca,"14,3",2011
san blas,"10,1",2011
tetuán,"11,8",2011
usera,"8,8",2011
vicálvaro,"8,9",2011
villa de vallecas,"9,0",2011
villaverde,"8,5",2011
arganzuela,"11,4",2011
arganzuela,"10,9",2012
barajas,"10,3",2012
carabanchel,"9,2",2012
centro,"13,6",2012
chamartín,"12,7",2012
chamberí,"13,1",2012
ciudad lineal,"10,8",2012
fuencarral,"10,2",2012
hortaleza,"10,9",2012
latina,"9,1",2012
moncloa,"11,4",2012
moratalaz,"8,7",2012
puente de vallecas,"9,0",2012
retiro,"12,3",2012
salamanca,"13,7",2012
san blas,"9,6",2012
tetuán,"11,5",2012
usera,"8,4",2012
vicálvaro,"8,4",2012
villa de vallecas,"8,7",2012
villaverde,"8,6",2012
madrid,"11,6",2012
barajas,"9,8",2014
carabanchel,"8,2",2014
centro,"13,5",2014
chamartín,"12,2",2014
chamberí,"13,2",2014
ciudad lineal,"10,0",2014
fuencarral,"9,8",2014
hortaleza,"10,5",2014
latina,"8,7",2014
moncloa,"11,7",2014
moratalaz,"8,4",2014
puente de vallecas,"8,3",2014
retiro,"11,7",2014
salamanca,"13,5",2014
san blas,"9,2",2014
tetuán,"11,1",2014
usera,"8,4",2014
vicálvaro,"7,9",2014
villa de vallecas,"8,5",2014
villaverde,"7,6",2014
arganzuela,"10,8",2014
barajas,"9,5",2015
carabanchel,"8,3",2015
centro,"13,7",2015
chamartín,"12,4",2015
chamberí,"13,5",2015
ciudad lineal,"10,2",2015
fuencarral,"10,2",2015
hortaleza,"10,3",2015
latina,"8,5",2015
moncloa,"12,0",2015
moratalaz,"8,5",2015
puente de vallecas,"8,1",2015
retiro,"11,7",2015
salamanca,"13,8",2015
san blas,"9,2",2015
tetuán,"11,3",2015
usera,"8,4",2015
vicálvaro,"8,3",2015
villa de vallecas,"8,7",2015
villaverde,"7,8",2015
arganzuela,"11,0",2015
barajas,"11,0",2016
carabanchel,"9,7",2016
centro,"16,9",2016
chamartín,"14,3",2016
chamberí,"15,9",2016
ciudad lineal,"11,6",2016
fuencarral,"11,3",2016
hortaleza,"11,7",2016
latina,"9,9",2016
moncloa,"13,8",2016
moratalaz,"9,8",2016
puente de vallecas,"9,5",2016
retiro,"14,6",2016
salamanca,"16,1",2016
san blas,"10,1",2016
tetuán,"13,9",2016
usera,"9,8",2016
vicálvaro,n.d.,2016
villa de vallecas,"9,1",2016
villaverde,"8,4",2016
arganzuela,"13,4",2016
