district,price_m2,year,price_m2_ref,ratio_reference
barajas,2611,2014,3904,0.6688012295081968
barajas,2583,2015,3904,0.6616290983606558
barajas,2604,2016,3904,0.6670081967213115
barajas,2867,2017,3904,0.734375
barajas,3904,2007,3904,1.0
barajas,3763,2008,3904,0.9638831967213115
barajas,3534,2009,3904,0.9052254098360656
barajas,3519,2010,3904,0.9013831967213115
barajas,3246,2011,3904,0.8314549180327869
barajas,3069,2012,3904,0.7861168032786885
barajas,2691,2013,3904,0.6892930327868853
carabanchel,1640,2014,3366,0.48722519310754603
carabanchel,1602,2015,3366,0.47593582887700536
carabanchel,1654,2016,3366,0.49138443256090314
carabanchel,1824,2017,3366,0.5418894830659536
carabanchel,3366,2007,3366,1.0
carabanchel,3041,2008,3366,0.9034462269756387
carabanchel,2806,2009,3366,0.833630421865716
carabanchel,2735,2010,3366,0.8125371360665479
carabanchel,2375,2011,3366,0.7055852644087938
carabanchel,2005,2012,3366,0.5956625074272133
carabanchel,1835,2013,3366,0.5451574569221628
centro,3276,2014,4710,0.6955414012738853
centro,3285,2015,4710,0.697452229299363
centro,3718,2016,4710,0.7893842887473461
centro,4456,2017,4710,0.9460721868365181
centro,4710,2007,4710,1.0
centro,4424,2008,4710,0.9392781316348195
centro,4168,2009,4710,0.8849256900212314
centro,4090,2010,4710,0.8683651804670913
centro,3853,2011,4710,0.8180467091295117
centro,3541,2012,4710,0.7518046709129512
centro,3298,2013,4710,0.700212314225053
chamartín,3652,2014,5254,0.695089455652836
chamartín,3717,2015,5254,0.7074609821088694
chamartín,3989,2016,5254,0.7592310620479634
chamartín,4384,2017,5254,0.8344118766653978
chamartín,5254,2007,5254,1.0
chamartín,5378,2008,5254,1.0236010658545869
chamartín,5122,2009,5254,0.9748762847354396
chamartín,5073,2010,5254,0.9655500570993528
chamartín,4730,2011,5254,0.9002664636467453
chamartín,4305,2012,5254,0.8193757137419109
chamartín,4016,2013,5254,0.7643700038066236
chamberí,3629,2014,5250,0.6912380952380952
chamberí,3630,2015,5250,0.6914285714285714
chamberí,4017,2016,5250,0.7651428571428571
chamberí,4642,2017,5250,0.8841904761904762
chamberí,5250,2007,5250,1.0
chamberí,5123,2008,5250,0.9758095238095238
chamberí,5066,2009,5250,0.964952380952381
chamberí,5040,2010,5250,0.96
chamberí,4607,2011,5250,0.8775238095238095
chamberí,4203,2012,5250,0.8005714285714286
chamberí,3763,2013,5250,0.7167619047619047
ciudad lineal,2514,2014,4030,0.6238213399503723
ciudad lineal,2464,2015,4030,0.6114143920595534
ciudad lineal,2487,2016,4030,0.61712158808933
ciudad lineal,2692,2017,4030,0.6679900744416873
ciudad lineal,4030,2007,4030,1.0
ciudad lineal,3935,2008,4030,0.9764267990074442
ciudad lineal,3756,2009,4030,0.9320099255583126
ciudad lineal,3596,2010,4030,0.8923076923076924
ciudad lineal,3386,2011,4030,0.8401985111662531
ciudad lineal,3015,2012,4030,0.7481389578163772
ciudad lineal,2740,2013,4030,0.6799007444168734
fuencarral,2656,2014,4162,0.6381547333012975
fuencarral,2656,2015,4162,0.6381547333012975
fuencarral,2768,2016,4162,0.6650648726573762
fuencarral,3067,2017,4162,0.7369053339740509
fuencarral,4162,2007,4162,1.0
fuencarral,3920,2008,4162,0.9418548774627583
fuencarral,3759,2009,4162,0.903171552138395
fuencarral,3693,2010,4162,0.88731379144642
fuencarral,3491,2011,4162,0.8387794329649207
fuencarral,3152,2012,4162,0.7573282075925036
fuencarral,2893,2013,4162,0.6950985103315713
hortaleza,2779,2014,4147,0.670122980467808
hortaleza,2765,2015,4147,0.6667470460573909
hortaleza,2799,2016,4147,0.6749457439112612
hortaleza,3051,2017,4147,0.7357125632987702
hortaleza,4147,2007,4147,1.0
hortaleza,4136,2008,4147,0.9973474801061007
hortaleza,4044,2009,4147,0.9751627682662165
hortaleza,3988,2010,4147,0.9616590306245478
hortaleza,3613,2011,4147,0.8712322160598023
hortaleza,3244,2012,4147,0.7822522305280926
hortaleza,3047,2013,4147,0.7347480106100795
latina,1677,2014,3381,0.49600709849157054
latina,1590,2015,3381,0.4702750665483585
latina,1761,2016,3381,0.520851818988465
latina,1879,2017,3381,0.5557527358769595
latina,3381,2007,3381,1.0
latina,3055,2008,3381,0.9035788228334812
latina,2756,2009,3381,0.8151434486838214
latina,2660,2010,3381,0.7867494824016563
latina,2377,2011,3381,0.7030464359656906
latina,2042,2012,3381,0.6039633244602188
latina,1846,2013,3381,0.5459923099674653
moncloa,3204,2014,4737,0.6763774540848638
moncloa,3157,2015,4737,0.666455562592358
moncloa,3310,2016,4737,0.6987544859615791
moncloa,3877,2017,4737,0.8184504960945747
moncloa,4737,2007,4737,1.0
moncloa,4532,2008,4737,0.95672366476673
moncloa,4359,2009,4737,0.9202026599113363
moncloa,4292,2010,4737,0.9060586869326578
moncloa,4024,2011,4737,0.8494827950179439
moncloa,3679,2012,4737,0.776651889381465
moncloa,3310,2013,4737,0.6987544859615791
moratalaz,1929,2014,3558,0.5421585160202361
moratalaz,1952,2015,3558,0.5486228218100057
moratalaz,2019,2016,3558,0.5674536256323778
moratalaz,2197,2017,3558,0.6174817313097246
moratalaz,3558,2007,3558,1.0
moratalaz,3229,2008,3558,0.9075323215289488
moratalaz,2905,2009,3558,0.8164699269252389
moratalaz,2820,2010,3558,0.7925801011804384
moratalaz,2554,2011,3558,0.7178189994378864
moratalaz,2243,2012,3558,0.6304103428892637
moratalaz,2004,2013,3558,0.5632377740303541
puente de vallecas,1456,2014,3251,0.4478621962473085
puente de vallecas,1396,2015,3251,0.4294063365118425
puente de vallecas,1400,2016,3251,0.4306367271608736
puente de vallecas,1518,2017,3251,0.4669332513072901
puente de vallecas,3251,2007,3251,1.0
puente de vallecas,2926,2008,3251,0.9000307597662258
puente de vallecas,2556,2009,3251,0.786219624730852
